StudentID,Gender,StudyHoursPerDay,AttendancePercent,SleepHours,PriorScore,ParentalEducation,Extracurricular,StudyGroup,FinalExamScore
STU3000,Male,2.5,88.5,7.2,69.2,High School,No,B,61.3
STU3001,Female,1.3,85.3,5.3,61.1,Master's,Yes,B,54.0
STU3002,Male,3.2,75.7,6.6,73.8,PhD,No,A,60.1
STU3003,Male,5.5,93.9,4.9,57.9,Master's,No,A,62.7
STU3004,Male,4.4,67.0,5.8,78.1,Master's,No,C,50.6
STU3005,Female,1.8,87.4,6.9,44.8,High School,Yes,C,56.7
STU3006,Male,4.3,87.1,4.6,66.9,PhD,Yes,A,65.5
STU3007,Male,4.7,76.3,7.0,94.1,High School,No,A,78.2
STU3008,Male,2.4,83.9,6.5,50.0,PhD,No,B,40.2
STU3009,Female,4.3,65.0,7.2,54.8,PhD,Yes,A,60.9
STU3010,Male,4.1,91.1,6.8,72.7,Master's,Yes,A,65.3
STU3011,Male,1.9,77.8,8.1,67.7,PhD,No,C,56.1
STU3012,Male,4.6,73.7,6.7,70.3,Bachelor's,Yes,A,62.7
STU3013,Male,5.0,92.6,6.0,72.3,High School,No,C,71.0
STU3014,Female,5.9,71.5,6.6,74.5,Bachelor's,No,A,66.0
STU3015,Male,5.9,63.1,7.2,81.6,Bachelor's,Yes,B,62.8
STU3016,Female,1.5,61.3,6.6,71.1,High School,No,A,50.6
STU3017,Female,2.3,87.3,6.5,61.4,Bachelor's,Yes,A,55.2
STU3018,Female,4.9,64.6,5.7,75.1,PhD,Yes,A,63.2
STU3019,Male,4.9,100.0,5.7,93.5,High School,No,C,52.1
STU3020,Female,4.9,55.0,4.8,63.0,Master's,Yes,B,62.2
STU3021,Male,10.0,100.0,8.6,50.4,Master's,No,A,78.5
STU3022,Female,5.0,82.5,5.0,81.6,PhD,No,C,57.5
STU3023,Female,6.0,78.8,5.7,63.2,PhD,Yes,B,73.1
STU3024,Female,5.7,73.5,5.6,32.4,Bachelor's,Yes,C,59.7
STU3025,Female,5.2,84.8,7.6,77.7,PhD,Yes,C,69.2
STU3026,Female,3.4,79.5,6.1,57.0,Master's,Yes,B,48.9
STU3027,Female,5.4,93.2,8.0,63.6,High School,Yes,A,71.2
STU3028,Female,2.6,81.4,5.7,70.0,Bachelor's,Yes,C,59.2
STU3029,Female,3.6,81.8,6.8,67.9,Master's,No,C,66.5
STU3030,Male,3.1,75.6,5.5,75.6,High School,No,A,55.1
STU3031,Male,4.1,79.3,9.1,58.5,Bachelor's,No,A,69.0
STU3032,Female,8.2,83.7,5.1,72.7,Bachelor's,No,B,71.1
